Artikelnummer;Beskrivning;Artikel ersatt av;Artikel har utgått;Cirkapris exkl.moms;Gammalt Klippo,Gardena nr;EAN kod;
115 59 36-93;QG AM305/308 HR,TR,RO,GR;;0;3.6;;7393080655905;
115 59 40-10;INSTALLATIONSBLAD;;0;6.4;;7393080662255;
115 59 43-06;OM R40LI/R70LI DEN;;0;6.4;;7393080666406;
115 59 43-11;OM R40LI/R70LI FIN;;0;6.4;;7393080666413;
115 59 43-21;OM R40LI/R70LI NOR;;0;6.4;;7393080666420;
115 59 43-26;OM R40LI/R70LI ENG;;0;6.4;;7393080666437;
115 59 43-31;OM R40LI/R70LI FR;;0;6.4;;7393080666444;
115 59 43-36;OM R40LI/R70LI DUTCH;;0;6.4;;7393080666451;
115 59 43-41;OM R40LI/R70LI ITA;;0;6.4;;7393080666468;
115 59 43-46;OM R40LI/R70LI ESP;;0;6.4;;7393080666475;
115 59 43-51;OM R40LI/R70LI GER;;0;6.4;;7393080666482;
115 59 43-58;OM R40LI/R70LI HUN;;0;6.4;;7393080701886;
115 59 43-59;OM R40LI/R70LI POR;;0;6.4;;7393080666499;
115 59 43-61;OM R40LI/R70LI POL;;0;6.4;;7393080702425;
115 59 43-68;OM R40LI/R70LI SLOVAKIA;;0;6.4;;7393080719454;
115 59 43-84;OM R40LI/R70LI SLOVENIA;;0;6.4;;7393080666505;
115 59 43-90;OM R40LI/R70LI CZECH;;0;6.4;;7393080719447;
115 60 11-10;OM305,308,320,330X,SV,DK,NO,FI;;0;6.4;;7393089062711;
115 60 11-20;OM305,308,320,330X,DE,FR,NL,SI;;0;6.4;;7393089062728;
